Type,Username,Date,Text,Link,Reply_Count;;
"POST,bawaslubanyumas,Thu Jan 29 13:04:29 +0000 2026,""#sahabatbawaslu Dalam rangka  memastikan akurasi dan validitas data pemilih sebagai upaya konsolidasi demokrasi, Bawaslu Kabupaten Banyumas melaksanakan kegiatan koordinasi dengan Sekolah Polisi Negara (SPN) Polda Jateng berlokasi di Purwokerto, Senin (26/01).   #BawasluBanyumas https://t.co/OEhn2OsCx7"",https://x.com/bawaslubanyumas/status/2016859999226700278,0";;
"POST,rehansuganda_,Wed Jan 28 07:20:35 +0000 2026,""@M_Dwpy Terimakasih Polres Purbalingga dan Sat Brimob Jawa Tengah berkat bantuan bapak2 Polisi, aktivitas warga yg tadinya terhambat, perlahan mulai Pulih.. 🙏🙏"",https://x.com/rehansuganda_/status/2016411062556647705,0";;
"POST,suaramerdeka,Wed Jan 28 05:10:44 +0000 2026,""Truk tanpa muatan  bernomor polisi L-8861-UC yang dikemudikan Sutarno (43) dari Banyumas  nekat melintas saat kereta relasi Malang-Gambir melaju dari arah timur,  menyebabkan tabrakan hebat.  https://t.co/yaM0FOPtnq"",https://x.com/suaramerdeka/status/2016378385556242664,0";;
"POST,radarjogja,Mon Jan 26 09:26:42 +0000 2026,""Honda Jazz Terbakar di Kota Magelang, Polisi Buru Pengemudi https://t.co/PY1vTHYSDl"",https://x.com/radarjogja/status/2015718027577418024,0";;
POST,polseksale1,Mon Jan 26 08:03:29 +0000 2026,Polri Mendukung Program Ketahanan Pangan Nasional   Swasembada pangan Ketahanan pangan Polisi cinta petani Polsek Sale Polres Rembang Polda Jateng   #swasembadapangan #ketahananpangan #polrimendukungketahananpangan #polisicintapetani #poldajateng #polresrembang #polseksale https://t.co/NESdAh2lqN,https://x.com/polseksale1/status/2015697083349770541,0;;
POST,polseksale1,Mon Jan 26 08:03:26 +0000 2026,Polri Mendukung Program Ketahanan Pangan Nasional   Swasembada pangan Ketahanan pangan Polisi cinta petani Polsek Sale Polres Rembang Polda Jateng   #swasembadapangan #ketahananpangan #polrimendukungketahananpangan #polisicintapetani #poldajateng #polresrembang #polseksale https://t.co/wfQl7o0NIA,https://x.com/polseksale1/status/2015697070368362659,0;;
POST,azki1825,Sun Jan 25 15:42:10 +0000 2026,@intinyadeh Polisi Jateng Ndeluogok pol cok,https://x.com/azki1825/status/2015450128111558846,0;;
POST,10ribu3macam,Sun Jan 25 03:17:37 +0000 2026,@pakualaman1 KLITIHae ga isok di beresno barang BONEK cepet di beresno wkwkwkwk POLISI JATENG/DIY ORA POKRO,https://x.com/10ribu3macam/status/2015262757634142382,1;;
"POST,tugu_polsek,Sun Jan 25 01:49:27 +0000 2026,""Polda Jateng- Kegiatan kunjungan edukasi program Jajan CIKI (Jalan-Jalan Karo Bocah Cilik) yang digelar Direktorat Polisi Perairan dan Udara Polda Jawa Tengah tidak hanya memberikan pengetahuan keselamatan perairan, namun juga menumbuhkan mimpi dan cita-cita bagi generasi muda. https://t.co/5WNkeHraZF"",https://x.com/tugu_polsek/status/2015240566825734393,0";;
"POST,grok,Sat Jan 24 08:46:40 +0000 2026,""@anonamiti @Matto_D_guy @liskiataumi Ya, Noordin Mohammad Top tewas di Solo, Jawa Tengah, Indonesia pada 17 September 2009 saat penggerebekan polisi. Keturunan Jawa dari ayahnya, dan memang meninggal di Jawa. 💔 😊"",https://x.com/grok/status/2014983175441637450,1";;
"POST,azki1825,Sat Jan 24 04:35:03 +0000 2026,""@DS_yantie Polisi paling lawak ya polisi jateng, kebanyakan kasus pelanggaran HAM juga dari sana. Itu kasus gamma aja banyak ngibulnya mereka"",https://x.com/azki1825/status/2014919857008153077,0";;
"POST,AgniParasthra,Fri Jan 23 23:33:38 +0000 2026,""@tribunjogja Polisi Jogja ya? Ngga heran kalau Polda Jateng mah. Gamma aja dibunuh, malah difitnah. Bener² Polda paling busuk dan biadab."",https://x.com/AgniParasthra/status/2014844002638664165,0";;
POST,DISPERMADES_JTG,Fri Jan 23 09:39:17 +0000 2026,Dispermadesdukcapil Prov Jateng menjadi salah satu Tim Panitia Eksternal dalam Pelaksanaan Pemeriksaan Administrasi (Rikmin) Seleksi Penerimaan SIPSS (Siswa Inspektur Polisi Sumber Sarjana) T.A. 2026 yang dilaksanakan pada 22 Januari 2026 di Polda Jawa Tengah. https://t.co/Pam8P7xTqS,https://x.com/DISPERMADES_JTG/status/2014634032097853738,0;;
POST,polisi_brebes,Fri Jan 23 04:25:59 +0000 2026,Kapolres Brebes Terima Kunjungan Kabid Propam Polda Jateng dalam Rangka Gaktiblin Anggota  @divisihumaspolri @humas_poldajateng  #polresbrebes #polresbrebesapik #bhabinkamtibmas #humaspolri #polriuntukindonesia #polrihadir #polisiindonesia #PolriPresisi #brebeshariini https://t.co/dArsMotc7e,https://x.com/polisi_brebes/status/2014555185549545522,0;;
POST,MaulaniCika,Thu Jan 22 18:02:53 +0000 2026,Ini Polisi Evakuasi Terminal Rusak Di Karanganyar Jawa Tengah https://t.co/DQMiyKW9PO,https://x.com/MaulaniCika/status/2014398378751439036,2;;
POST,suaramerdeka,Thu Jan 22 08:52:05 +0000 2026,Pagar rumah bahkan tampak tertutup dan terkunci. Meski begitu tidak ada garis polisi yang terpasang di rumah tersebut.  Banner bergambar Sudewo dan istrinya yang bertuliskan ucapan Natal dan Tahun Baru terlihat berdiri megah di depan rumah.  https://t.co/p6pFSzeXNN,https://x.com/suaramerdeka/status/2014259765195800627,0;;
"POST,suaramerdeka,Thu Jan 22 05:07:06 +0000 2026,""Awal 2026, Peran Warga Sragen Bantu Polisi Bongkar Peredaran Sabu  https://t.co/myNlvctIh3"",https://x.com/suaramerdeka/status/2014203145405268345,0";;
POST,Kangmadar,Wed Jan 21 01:51:31 +0000 2026,Polisi Ringkus Empat Pemuda di Kebumen Amankan Ratusan Gram Sabu dan Puluhan Ekstasi https://t.co/TSp4spBZlk,https://x.com/Kangmadar/status/2013791536149049370,0;;
"POST,IDNTimesJateng,Tue Jan 20 11:51:36 +0000 2026,""Dilaporkan ke Polisi, BRM S Klaim Lindungi Korban Ricuh Keraton Solo https://t.co/mcBAy3PYf3"",https://x.com/IDNTimesJateng/status/2013580166984016033,0";;
"POST,PolairJateng,Mon Jan 19 10:31:01 +0000 2026,""Giat laporan POLISI PENOLONG KP.IX-1008 Dit Polairud Polda Jateng penugasan Wilayah Kendal.   - Hari / Waktu : Senin, 19 Januari 2026, Pukul 10.00 Wib. - Tempat : Kelurahan Langen Harjo, Kec. Kendal Kota, Kab. Kendal. - Uraian :  Crew KP.IX-1008 Ditpolairud Polda Jateng membantu https://t.co/nMkGTOrneY"",https://x.com/PolairJateng/status/2013197496550412742,0";;
"POST,klatenutara_,Sun Jan 18 14:08:46 +0000 2026,""Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/3b6HYdnTkP., meresmikan secara serentak 19 Jembatan Merah Putih Presisi di Provinsi Jawa Tengah yang terpusat di Desa Cucukan, Kec. Prambanan, Kab. Klaten. https://t.co/JOxkthUjB2"",https://x.com/klatenutara_/status/2012889909959557260,1";;
"POST,Sek_Kemalang,Sun Jan 18 13:30:12 +0000 2026,""Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/TyM0SmzI2X., meresmikan secara serentak 19 Jembatan Merah Putih Presisi di Provinsi Jawa Tengah yang terpusat di Desa Cucukan, Kec. Prambanan, Kab. Klaten."",https://x.com/Sek_Kemalang/status/2012880201722794443,1";;
